반기,서명,저자,도서ID,대출횟수
2024년 하반기(9월-2월),일본어 들어가기,권승림,SS_173291,6
2024년 하반기(9월-2월),대학 글쓰기,차봉준,SS_176278,4
2024년 하반기(9월-2월),"한스 큉, 과학을 말하다","K?ng, Hans",SS_161762,4
2024년 하반기(9월-2월),A concise introduction to syntactic theory :the government-binding approach,"Cowper, Elizabeth A",SS_165162,4
2024년 하반기(9월-2월),(중국어뱅크) 중국어의 신,이강재,SS_165132,4
2024년 하반기(9월-2월),저널리즘과 질문의 자격,김사승,SS_267142,4
2024년 하반기(9월-2월),A concise introduction to syntactic theory :the government-binding approach,"Cowper, Elizabeth A",SS_275321,4
2024년 하반기(9월-2월),아주 작은 습관의 힘,"Clear, James",SS_108008,4
2024년 하반기(9월-2월),12가지 인생의 법칙,"Peterson, Jordan B",SS_100518,4
2024년 하반기(9월-2월),이것이 인간인가,"Levi, Primo",SS_143977,4
2024년 상반기(3월-8월),밝은 방,"Barthes, Roland",SS_032806,9
2024년 상반기(3월-8월),"Unlock.[Level] 3 :listening, speaking ＆ critical thinking : student's book","Ostrowska, Sabina",SS_172829,9
2024년 상반기(3월-8월),자비 경제학,김회권,SS_175339,9
2024년 상반기(3월-8월),도파민네이션,"Lembke, Anna",SS_149005,9
2024년 상반기(3월-8월),도둑맞은 집중력,"Hari, Johann",SS_142934,8
2024년 상반기(3월-8월),불변의 법칙,"Housel, Morgan",SS_138961,8
2024년 상반기(3월-8월),(빅터 프랭클의) 죽음의 수용소에서,"Frankl, Viktor E",SS_181433,8
2024년 상반기(3월-8월),오픽노잼,오픽노잼,SS_143342,8
2024년 상반기(3월-8월),(ETS TOEIC) 토익 정기시험 기출문제집,와이비엠,SS_112162,7
2024년 상반기(3월-8월),(ETS TOEIC) 토익 정기시험 기출문제집,와이비엠,SS_112164,7
2023년 하반기(9월-2월),(인문고전으로서의) 구약성서 읽기,김회권,SS_176824,12
2023년 하반기(9월-2월),도파민네이션,"Lembke, Anna",SS_149004,10
2023년 하반기(9월-2월),생각에 관한 생각,"Kahneman, Daniel",SS_164699,9
2023년 하반기(9월-2월),도파민네이션,"Lembke, Anna",SS_149005,9
2023년 하반기(9월-2월),(인문고전으로서의) 구약성서 읽기,김회권,SS_176823,8
2023년 하반기(9월-2월),아나키와 예술,"Antliff, Allan",SS_064278,8
2023년 하반기(9월-2월),"Sources of Husserl's ""ideas I""","Staiti, Andrea",SS_164553,8
2023년 하반기(9월-2월),100권의 그림책,"Salisbury, Martin",SS_267441,8
2023년 하반기(9월-2월),당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,"Schopenhauer, Arthur",SS_143032,7
2023년 하반기(9월-2월),아주 작은 습관의 힘,"Clear, James",SS_094790,7
2023년 상반기(3월-8월),그릿,"Duckworth, Angela",SS_117554,7
2023년 상반기(3월-8월),향연,Πλ?των,SS_172577,7
2023년 상반기(3월-8월),"신화, 영웅 그리고 시나리오 쓰기","Vogler, Christopher",SS_116908,7
2023년 상반기(3월-8월),지적 대화를 위한 넓고 얕은 지식,채사장,SS_055333,7
2023년 상반기(3월-8월),만일 내가 인생을 다시 산다면,김혜남,SS_174353,7
2023년 상반기(3월-8월),사랑의 기술,"Fromm, Erich",SS_165914,7
2023년 상반기(3월-8월),대학생을 위한 활용 독일어,임우영,SS_146385,7
2023년 상반기(3월-8월),타이탄의 도구들,"Ferriss, Timothy",SS_174604,7
2023년 상반기(3월-8월),인생 유니티 교과서,이영호,SS_159363,6
2023년 상반기(3월-8월),일본어 들어가기,권승림,SS_173373,6
2022년 하반기(9월-2월),"하나님, 저 잘 살고 있나요?",전대진,SS_171704,14
2022년 하반기(9월-2월),목회자 후보생들에게,김회권,SS_093288,9
2022년 하반기(9월-2월),현대인과 성서,현대인과성서 교재편찬위원회,SS_105884,8
2022년 하반기(9월-2월),현대인과 성서,현대인과성서 교재편찬위원회,SS_133059,8
2022년 하반기(9월-2월),(인문고전으로서의) 구약성서 읽기,김회권,SS_176221,7
2022년 하반기(9월-2월),송명 성리학,陳來,SS_115337,7
2022년 하반기(9월-2월),(데일 카네기) 인간관계론,"Carnegie, Dale",SS_170993,6
2022년 하반기(9월-2월),TOPIK 쓰기의 모든 것,박미경,SS_277239,6
2022년 하반기(9월-2월),(최신개정) 신공략 중국어,?箭?,SS_168227,6
2022년 하반기(9월-2월),기분이 태도가 되지 않게,??心理,SS_181766,6
2022년 상반기(3월-8월),(신문으로 공부하는 말랑말랑) 시사상식,시사상식연구소,SS_175730,8
