ISBN,도서명,저자,출판 연도
9788901260716,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 지음,2022
9791188331796,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,지은이: 김승호,2020
9791191056372,돈의 심리학 :당신은 왜 부자가 되지 못했는가,모건 하우절 지음 ;이지연 옮김,2021
9791190382618,꽃샘바람에 흔들린다면 너는 꽃 :류시화 시집,지은이: 류시화,2022
9791189327156,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",룰루 밀러 지음 ;정지인 옮김,2021
9791165341909,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,지은이: 이미예,2020
9788934991328,사피엔스 :그래픽 히스토리,원작·각색: 유발 하라리 ;옮긴이: 김명주,2020
9791164136452,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가,마이클 샌델 지음 ;함규진 옮김,2020
9788957336663,향연,지은이: 플라톤 ;옮긴이: 강철웅,2020
9791160580327,마스터 숏 :생생한 대화씬을 만드는 100가지 기법,크리스토퍼 켄월시 지음 ;김지윤 옮김,2020
9788979293494,"비전 :「빛」, 「색」, 「구성」으로 스토리를 전한다","지은이: 한스 P. 바커,옮긴이: 윤효원",2022
9791160580334,마스터 숏 :감독의 비전,크리스토퍼 켄월시 지음 ;김지윤 옮김,2020
9791130677965,30개 도시로 읽는 일본사 :익숙하고 낯선 도시가 들려주는 일본의 진짜 역사 이야기,지은이: 조 지무쇼 ;옮긴이: 전선영,2021
9788950993337,메이지유신을 설계한 최후의 사무라이들 :그들은 왜 칼 대신 책을 들었나,박훈 지음,2020
9791160949629,아틀라스 한국사,"지은이: 한국교원대학교 역사교육과 교수진,지도 원도 및 일러스트레이션: Map.ing",2022
9791162766521,지능의 역설 :우리가 몰랐던 지능의 사생활,가나자와 사토시 지음 ;김준 옮김,2020
9791188102051,더 시스템 :거의 모든 일에 실패하던 자가 결국 큰 성공을 이루어낸 방법,지은이: 스콧 애덤스 ;옮긴이: 김인수,2020
9788917238686,(박혜원) 파워토익 VOCA :콜로케이션과 패러프레이징으로 끝내는,저자: 박혜원,2021
9788901243658,기분이 태도가 되지 않게 :기분 따라 행동하다 손해 보는 당신을 위한 심리 수업,레몬심리 지음 ;박영란 옮김,2020
9791188255559,바울 평전,톰 라이트 지음 ;박규태 옮김,2020
9791197924309,예수가 하려던 말들 - 예수의 비유에 관한 성서학적·철학적 사색,김호경 (지은이),2022
9788997221516,(한눈에 보인다) 스페인어 첫걸음 :처음부터 끝까지 쉽고 친절한 스페인어 입문서,"저자: Mr. Sun 어학연구소,Isabela Bae",2020
9788955187830,해 봐! 하루 10분 왕초보 스페인어,저자: 신승,2020
9791170400523,이어령의 마지막 수업,김지수 지음,2021
9791165343996,(서울 자가에 대기업 다니는) 김 부장 이야기,송희구 지음,2021
9791157844869,누구 먼저 살려야 할까 :깐깐한 의사 제이콥의 슬기로운 의학윤리 상담소,제이콥 M. 애팰 지음 ;김정아 옮김,2021
9791191056556,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,2021
9791165045258,"하나님, 그래서 그러셨군요!",신애라 지음,2024
9791191280333,데일 카네기 자기관리론,데일 카네기 지음 ;임상훈 옮김,2021
9788954753937,이현석의 입이 트이는 영어 최고의 스피킹 60,이현석 지음,2020
9791130679006,강성태 66일 영어회화 :당신의 영어가 습관이 되기에 충분한 시간,강성태 지음,2021
9791161659589,1일 1미술 1교양 :처음 만나는 100일간의 서양미술사 교양 수업,서정욱 지음,2020
9791159201172,(Carl Jung) Red book,칼 구스타프 융 지음 ;정명진 옮김,2020
9788957361160,내 그림자에게 말 걸기 :융 심리학이 말하는 내 안의 또 다른 나와 만나는 시간,"로버트 존슨,신선해 옮김",2020
9791162542866,밥 프록터 부의 확신 :세계 단 1%만이 알고 있는 부와 성공의 비밀,밥 프록터 지음 ;김문주 옮김,2022
9791158511906,나의 하루는 4시 30분에 시작된다 :하루를 두 배로 사는 단 하나의 습관,김유진 지음,2020
9791198013026,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,김미경 지음,2023
9788901246086,2030 축의 전환 :새로운 부와 힘을 탄생시킬 8가지 거대한 물결,마우로 기옌 지음 ;우진하 옮김,2020
9788965965046,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,애나 렘키 지음 ;김두완 옮김,2022
9788934949671,우리는 여전히 삶을 사랑하는가,지은이: 에리히 프롬 ;옮긴이: 장혜경,2022
9791197413025,다정한 것이 살아남는다,"지은이: 브라이언 헤어,옮긴이: 이민아",2021
9791190030922,소크라테스 익스프레스 :철학이 우리 인생에 스며드는 순간,에릭 와이너 지음 ;김하현 옮김,2021
9791165794811,130층 나무 집,앤디 그리피스 글 ;신수진 옮김,2021
9791190382915,생에 감사해,지은이: 김혜자,2022
9791190174756,"칵테일, 러브, 좀비",지은이: 조예은,2020
9788950927400,현대사상 입문,지바 마사야 지음 ;김상운 옮김,2023
9791190030632,공부란 무엇인가,지은이: 김영민,2020
9791155813966,(개싸움을 지적 토론의 장으로 만드는) 어른의 문답법,"피터 버고지언,홍한결 옮김",2021
9788901255552,"권력의 심리학 :누가 권력을 쥐고, 권력은 우리를 어떻게 바꾸는가",브라이언 클라스 지음 ;서종민 옮김,2022
9791191114102,보다 읽다 말하다 :김영하 인사이트 3부작,지은이: 김영하,2021
9791191360196,"미래의 부 :인공지능 시대, 돈은 어떤 모습으로 다가오는가",이지성 지음,2021
9791197126741,에이트 씽크 =인공지능의 딥러닝을 이기는 동서양 천재들의 생각법 /Eight think,이지성 지음,2020
9791191438642,시민의 한국사,한국역사연구회 지음,2022
9791159095887,"벌거벗은 세계사 :벗겼다, 세상을 뒤흔든 역사","지은이: tvN <벌거벗은 세계사> 제작팀,최태성",2022
9791191432688,역사교육 첫걸음 :배움에서 가르침으로,"김민정,김성자 지음",2022
9791191438406,거꾸로 읽는 세계사,유시민 지음,2021
9791192836188,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,유시민 지음,2023
9788934988359,고통 없는 사회 :왜 우리는 삶에서 고통을 추방하는가,지은이: 한병철 ;옮긴이: 이재영,2021
9788954753890,"한 공기의 사랑, 아낌의 인문학",지은이: 강신주,2020
9788934989653,"신, 만들어진 위험 :신의 존재를 의심하는 당신에게",지은이: 리처드 도킨스 ;옮긴이: 김명주,2021
9788946421158,스스로 행복하라,글: 법정,2020
